# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(-1.303925e+04 1.238772e+04 -4.526346e+03)	(-1.303514e+04 1.238768e+04 -4.526377e+03)	(-4.107154e+00 3.063682e-02 3.180055e-02)
2             	(-2.000910e+02 1.986556e+03 4.119678e+03)	(-1.960099e+02 1.986531e+03 4.119632e+03)	(-4.081044e+00 2.545868e-02 4.507729e-02)
3             	(-9.418270e+01 1.774827e+03 3.924630e+03)	(-8.994267e+01 1.774811e+03 3.924583e+03)	(-4.240031e+00 1.600319e-02 4.679791e-02)
4             	(-6.359491e+01 1.767529e+03 4.014706e+03)	(-5.881665e+01 1.767518e+03 4.014656e+03)	(-4.778257e+00 1.109888e-02 5.081753e-02)
5             	(-5.102470e+01 1.737157e+03 3.987395e+03)	(-4.553307e+01 1.737147e+03 3.987339e+03)	(-5.491630e+00 9.897604e-03 5.573612e-02)
6             	(-4.227843e+01 1.723349e+03 3.988037e+03)	(-3.599645e+01 1.723340e+03 3.987975e+03)	(-6.281980e+00 8.851634e-03 6.250378e-02)
7             	(-3.875539e+01 1.720739e+03 3.998328e+03)	(-3.170993e+01 1.720733e+03 3.998256e+03)	(-7.045452e+00 6.595352e-03 7.172968e-02)
8             	(-3.571287e+01 1.713292e+03 3.999286e+03)	(-2.791245e+01 1.713286e+03 3.999205e+03)	(-7.800425e+00 5.849349e-03 8.126592e-02)
9             	(-3.434690e+01 1.707171e+03 3.993791e+03)	(-2.563586e+01 1.707166e+03 3.993700e+03)	(-8.711037e+00 4.843008e-03 9.079651e-02)
10            	(-3.266208e+01 1.697992e+03 3.985738e+03)	(-2.288905e+01 1.697987e+03 3.985638e+03)	(-9.773028e+00 4.863038e-03 9.911051e-02)
11            	(-3.231493e+01 1.695745e+03 3.984121e+03)	(-2.160474e+01 1.695741e+03 3.984017e+03)	(-1.071019e+01 3.430082e-03 1.040276e-01)
12            	(-3.244875e+01 1.693889e+03 3.983565e+03)	(-2.083742e+01 1.693887e+03 3.983454e+03)	(-1.161133e+01 2.675438e-03 1.106883e-01)
