# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(1.848111e+03 -1.401676e+05 1.018590e+05)	(1.848109e+03 -1.401681e+05 1.018601e+05)	(2.459169e-03 5.126771e-01 -1.070473e+00)
2             	(-5.462654e+02 -1.702234e+03 1.982798e+03)	(-5.462651e+02 -1.702811e+03 1.983966e+03)	(-2.811444e-04 5.764504e-01 -1.167207e+00)
3             	(-5.139651e+02 -8.330476e+02 1.178586e+03)	(-5.139642e+02 -8.336892e+02 1.179807e+03)	(-9.504756e-04 6.416049e-01 -1.221510e+00)
4             	(-5.304989e+02 -5.384131e+02 9.292599e+02)	(-5.304972e+02 -5.391807e+02 9.306082e+02)	(-1.658423e-03 7.676807e-01 -1.348295e+00)
5             	(-5.287054e+02 -3.991154e+02 7.973563e+02)	(-5.287034e+02 -4.000268e+02 7.988776e+02)	(-2.052063e-03 9.113355e-01 -1.521381e+00)
6             	(-5.306472e+02 -2.965376e+02 7.134768e+02)	(-5.306447e+02 -2.975957e+02 7.151981e+02)	(-2.487596e-03 1.058110e+00 -1.721242e+00)
7             	(-5.330279e+02 -2.565847e+02 6.738674e+02)	(-5.330247e+02 -2.577787e+02 6.757888e+02)	(-3.248616e-03 1.193935e+00 -1.921354e+00)
8             	(-5.339032e+02 -2.202079e+02 6.377532e+02)	(-5.338990e+02 -2.215414e+02 6.398667e+02)	(-4.138901e-03 1.333480e+00 -2.113510e+00)
9             	(-5.336083e+02 -1.975521e+02 6.158325e+02)	(-5.336032e+02 -1.990556e+02 6.181743e+02)	(-5.054003e-03 1.503492e+00 -2.341876e+00)
10            	(-5.327507e+02 -1.709761e+02 5.916463e+02)	(-5.327452e+02 -1.726751e+02 5.942596e+02)	(-5.477808e-03 1.698992e+00 -2.613235e+00)
11            	(-5.327132e+02 -1.575651e+02 5.805903e+02)	(-5.327078e+02 -1.594370e+02 5.834434e+02)	(-5.392492e-03 1.871860e+00 -2.853091e+00)
12            	(-5.326473e+02 -1.506266e+02 5.751213e+02)	(-5.326419e+02 -1.526657e+02 5.782161e+02)	(-5.409669e-03 2.039085e+00 -3.094813e+00)
13            	(-5.326322e+02 -1.447776e+02 5.686700e+02)	(-5.326269e+02 -1.469609e+02 5.719817e+02)	(-5.215544e-03 2.183306e+00 -3.311672e+00)
14            	(-5.320936e+02 -1.477315e+02 5.682175e+02)	(-5.320892e+02 -1.500112e+02 5.716851e+02)	(-4.383007e-03 2.279715e+00 -3.467644e+00)
15            	(-5.327925e+02 -1.404086e+02 5.651537e+02)	(-5.327890e+02 -1.427943e+02 5.688022e+02)	(-3.450477e-03 2.385765e+00 -3.648494e+00)
16            	(-5.326102e+02 -1.446259e+02 5.685457e+02)	(-5.326077e+02 -1.471032e+02 5.723413e+02)	(-2.413561e-03 2.477293e+00 -3.795581e+00)
17            	(-5.319269e+02 -1.445811e+02 5.678094e+02)	(-5.319257e+02 -1.471387e+02 5.717518e+02)	(-1.109564e-03 2.557610e+00 -3.942425e+00)
18            	(-5.316780e+02 -1.482357e+02 5.718353e+02)	(-5.316781e+02 -1.508553e+02 5.759067e+02)	(1.092739e-04 2.619591e+00 -4.071348e+00)
19            	(-5.310996e+02 -1.539648e+02 5.755027e+02)	(-5.311009e+02 -1.566219e+02 5.796562e+02)	(1.285444e-03 2.657104e+00 -4.153471e+00)
20            	(-5.313876e+02 -1.554351e+02 5.773365e+02)	(-5.313906e+02 -1.581329e+02 5.815924e+02)	(2.974180e-03 2.697801e+00 -4.255902e+00)
21            	(-5.311302e+02 -1.594485e+02 5.793864e+02)	(-5.311351e+02 -1.621818e+02 5.837422e+02)	(4.918794e-03 2.733298e+00 -4.355862e+00)
22            	(-5.303888e+02 -1.630605e+02 5.797939e+02)	(-5.303957e+02 -1.658267e+02 5.842443e+02)	(6.905828e-03 2.766183e+00 -4.450440e+00)
