#,alpha.water_initial,alpha.water_final,p_rgh_initial,p_rgh_final
532,3.640940e-06,4.385720e-09,1.860740e-03,1.630900e-06
533,3.751320e-06,4.607810e-09,1.912460e-03,1.597870e-06
534,3.863230e-06,4.850910e-09,1.969680e-03,1.573870e-06
535,3.978870e-06,5.100200e-09,2.031110e-03,1.569320e-06
536,4.083780e-06,5.343610e-09,2.069930e-03,1.562120e-06
537,4.191190e-06,5.590030e-09,2.071370e-03,1.547770e-06
538,4.299030e-06,5.864910e-09,2.072140e-03,1.584490e-06
539,4.385950e-06,6.117780e-09,2.071610e-03,1.587520e-06
540,4.443480e-06,6.317110e-09,2.071320e-03,1.584000e-06
541,4.482170e-06,6.325590e-09,2.069420e-03,1.585240e-06
542,4.506280e-06,6.469820e-09,2.066850e-03,1.612850e-06
543,4.499600e-06,6.579530e-09,2.065060e-03,1.608560e-06
544,4.492410e-06,6.635630e-09,2.065230e-03,1.658750e-06
545,4.483000e-06,6.740660e-09,2.066440e-03,1.707540e-06
546,4.473280e-06,6.571690e-09,2.067400e-03,1.774430e-06
547,4.464900e-06,6.753970e-09,2.072080e-03,1.800000e-06
548,4.456710e-06,6.785850e-09,2.077740e-03,1.857430e-06
549,4.449640e-06,6.772340e-09,2.083010e-03,1.860820e-06
550,4.444910e-06,6.869000e-09,2.089410e-03,1.911240e-06
551,4.440650e-06,6.708280e-09,2.092110e-03,1.894020e-06
552,4.436820e-06,6.643230e-09,2.091010e-03,1.828000e-06
553,4.434740e-06,6.461670e-09,2.089160e-03,1.839370e-06
554,4.438950e-06,6.467470e-09,2.085950e-03,1.804150e-06
555,4.441360e-06,6.467060e-09,2.079320e-03,1.792500e-06
556,4.444900e-06,6.487600e-09,2.073090e-03,1.788510e-06
557,4.448260e-06,6.504940e-09,2.068600e-03,1.799640e-06
558,4.451300e-06,6.413120e-09,2.064740e-03,1.813010e-06
559,4.454760e-06,6.494940e-09,2.060890e-03,1.758690e-06
560,4.459110e-06,6.506840e-09,2.055870e-03,1.747810e-06
561,4.464350e-06,6.598290e-09,2.049190e-03,1.744110e-06
562,4.470540e-06,6.642330e-09,2.042320e-03,1.697130e-06
563,4.478840e-06,6.685400e-09,2.033280e-03,1.696930e-06
564,4.488010e-06,6.547650e-09,2.024450e-03,1.705850e-06
565,3.765730e-06,5.307010e-09,2.018990e-03,1.842980e-06
566,3.703940e-06,5.126830e-09,1.979420e-03,1.511510e-06
567,3.716010e-06,5.210740e-09,1.943380e-03,1.411180e-06
568,3.719850e-06,5.200770e-09,1.917610e-03,1.358210e-06
569,3.722220e-06,5.207130e-09,1.889770e-03,1.334390e-06
570,3.723930e-06,5.210840e-09,1.862540e-03,1.326340e-06
571,3.725650e-06,5.196990e-09,1.837470e-03,1.296900e-06
572,3.725840e-06,5.155170e-09,1.810200e-03,1.283210e-06
573,3.726010e-06,5.126600e-09,1.784670e-03,1.279520e-06
574,3.726810e-06,5.096840e-09,1.759760e-03,1.258410e-06
575,3.732410e-06,5.097600e-09,1.738470e-03,1.248820e-06
576,3.737080e-06,4.851840e-09,1.715650e-03,1.235840e-06
577,3.740580e-06,4.933540e-09,1.691480e-03,1.226420e-06
578,3.743980e-06,4.907340e-09,1.668910e-03,1.215100e-06
579,3.748930e-06,4.916620e-09,1.646030e-03,1.202380e-06
580,3.754210e-06,4.921800e-09,1.622960e-03,1.200080e-06
581,3.758830e-06,4.933660e-09,1.602520e-03,1.328650e-06
582,3.767840e-06,4.970560e-09,1.582540e-03,1.367450e-06
583,3.767680e-06,4.706530e-09,1.562160e-03,1.371140e-06
584,3.832010e-06,5.065100e-09,1.698200e-03,1.405890e-06
585,3.886910e-06,5.446890e-09,1.943410e-03,1.512420e-06
586,3.893870e-06,5.536650e-09,1.945610e-03,1.381690e-06
587,3.897950e-06,5.546410e-09,1.923290e-03,1.425040e-06
588,3.910480e-06,5.694190e-09,1.910080e-03,1.402210e-06
589,3.918910e-06,5.933400e-09,1.898880e-03,1.462540e-06
590,3.927780e-06,6.068710e-09,1.887640e-03,1.446830e-06
591,3.935790e-06,6.098460e-09,1.879930e-03,1.582820e-06
592,3.311080e-06,3.937110e-09,1.175470e-03,2.375990e-06
593,3.067150e-06,3.511780e-09,1.088600e-03,1.652710e-06
594,3.114130e-06,3.604780e-09,1.108740e-03,1.685410e-06
595,3.138620e-06,3.654240e-09,1.113420e-03,1.452830e-06
596,3.172360e-06,3.725640e-09,1.123390e-03,1.396610e-06
597,3.209520e-06,3.807490e-09,1.137590e-03,1.522870e-06
598,3.246450e-06,3.884400e-09,1.147460e-03,1.419220e-06
599,3.283670e-06,3.950160e-09,1.160770e-03,1.496960e-06
